coffee_H_mean,coffee_H_std,coffee_S_mean,coffee_S_std,coffee_V_mean,coffee_V_std,coffee_L_mean,coffee_L_std,coffee_A_mean,coffee_A_std,coffee_Bl_mean,coffee_Bl_std,coffee_grey_mean,coffee_grey_std,paper_V_mean,paper_V_std,paper_L_mean,paper_L_std,flash,agtron
12.406,10.934,160.16,23.073,93.096,35.211,71.792,33.301,139.881,3.618,148.478,7.953,66.915,29.452,180.217,3.435,176.172,3.196,0,Agtron 65
12.06,10.433,159.989,24.057,90.327,35.077,69.24,33.307,139.865,3.715,147.68,7.79,64.704,29.437,180.217,3.435,176.172,3.196,0,Agtron 65
12.312,10.501,160.898,23.932,90.795,34.83,69.579,32.377,139.872,3.513,148.131,7.978,64.911,28.522,180.217,3.435,176.172,3.196,0,Agtron 65
12.731,6.866,164.377,23.576,101.872,38.47,79.3,36.573,140.248,3.337,150.893,8.144,73.668,32.895,178.553,2.077,179.156,1.475,0,Agtron 75
12.829,6.888,162.729,24.082,107.233,41.734,84.004,39.22,140.365,3.376,151.713,8.682,78.092,35.41,178.553,2.077,179.156,1.475,0,Agtron 75
12.76,11.179,164.436,24.32,102.115,40.352,78.843,38.024,140.746,3.61,150.76,8.58,73.335,34.274,178.553,2.077,179.156,1.475,0,Agtron 75
12.075,6.361,165.931,24.469,99.64,40.172,76.44,37.708,140.774,3.606,150.348,8.75,71.162,33.804,178.553,2.077,179.156,1.475,0,Agtron 75
12.408,10.602,164.861,24.571,96.432,41.565,73.791,38.607,140.357,3.673,149.689,9.248,68.889,34.46,178.553,2.077,179.156,1.475,0,Agtron 75
12.679,8.48,164.182,26.422,103.94,42.574,80.723,40.305,140.531,3.831,151.089,8.768,75.16,36.542,178.553,2.077,179.156,1.475,0,Agtron 75
12.099,8.135,164.601,24.388,98.011,40.676,75.131,37.968,140.577,3.726,149.881,8.907,70.036,33.971,178.553,2.077,179.156,1.475,0,Agtron 75
12.709,8.163,163.75,24.538,106.499,39.751,82.889,37.708,140.85,3.47,151.602,8.126,76.96,34.133,178.553,2.077,179.156,1.475,0,Agtron 75
12.184,7.946,166.562,24.659,100.609,39.786,76.991,37.304,141.087,3.587,150.69,8.619,71.602,33.553,178.553,2.077,179.156,1.475,0,Agtron 75
13.225,9.426,164.234,24.861,105.205,38.641,82.256,36.659,140.358,3.292,151.773,8.244,76.288,33.086,178.553,2.077,179.156,1.475,0,Agtron 75
13.302,7.677,165.559,24.89,105.429,37.287,82.549,35.479,140.289,3.299,152.164,8.06,76.439,31.974,178.553,2.077,179.156,1.475,0,Agtron 75
12.642,7.948,163.205,24.218,99.449,38.053,77.247,36.135,140.12,3.472,150.204,8.154,71.844,32.353,178.553,2.077,179.156,1.475,0,Agtron 75
62.572,72.694,108.108,54.799,36.1,25.834,27.867,26.384,132.041,2.917,130.723,3.876,28.661,23.464,200.299,2.745,201.64,2.73,1,Agtron 25
12.721,29.185,140.244,56.657,44.513,24.358,33.091,25.648,133.83,2.515,133.746,3.696,33.349,22.616,200.299,2.745,201.64,2.73,1,Agtron 25
48.09,66.824,114.799,56.355,39.446,26.6,30.295,26.933,132.551,3.151,131.813,4.564,30.835,23.893,200.299,2.745,201.64,2.73,1,Agtron 25
13.034,29.356,135.221,54.632,46.813,23.641,35.274,25.159,134.049,2.495,134.073,3.694,35.306,22.092,200.299,2.745,201.64,2.73,1,Agtron 25
